status,Timestamp,URL,Count,Percentage,Critical
200,22/Jan/2019:03:56:14 +0330,"/filter/27|13%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,27|%DA%A9%D9%85%D8%AA%D8%B1%20%D8%A7%D8%B2%205%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,p53 HTTP/1.1",9579825,92.42%,No
206,23/Jan/2019:19:09:30 +0330,/robots.txt HTTP/1.1,3,0.0%,No
301,22/Jan/2019:03:56:49 +0330,/ HTTP/1.1,67553,0.65%,No
302,22/Jan/2019:03:56:34 +0330,/images/raty/star-on.png HTTP/1.1,199835,1.93%,No
304,22/Jan/2019:03:58:05 +0330,/static/images/guarantees/warranty.png HTTP/1.1,340228,3.28%,No
400,22/Jan/2019:04:12:52 +0330,/ HTTP/1.1,532,0.01%,No
401,22/Jan/2019:10:14:07 +0330,/login/authAjax HTTP/1.1,323,0.0%,No
403,22/Jan/2019:04:23:51 +0330,/image/33888?name=model-b2048u-1-.jpg&wh=200x200 HTTP/1.1,5634,0.05%,No
404,22/Jan/2019:03:56:19 +0330,/apple-touch-icon-152x152-precomposed.png HTTP/1.1,105011,1.01%,Yes
405,22/Jan/2019:16:26:07 +0330,/slide/delete HTTP/1.1,6,0.0%,No
408,22/Jan/2019:08:10:15 +0330,/filter/b135 HTTP/1.1,112,0.0%,No
414,22/Jan/2019:17:40:26 +0330,"/rapidGrails/jsonList?maxColumns=10&domainClass=eshop.AuditLog&filter=[{op:and,data:[{op:%27isNotNull%27,%20field:%27actor%27},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27ne%27,%20field:%27actor%27,%20val:%27system%27},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:or,data:[{op:and,data:[{op:or,data:[{op:%27eq%27,%20field:%27className%27,%20val:%27eshop.Product%27},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27eq%27,%20field:%27className%27,%20val:%27Product%27}]},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27eq%27,%20field:%27persistedObjectId%27,%20val:28790},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27ne%27,%20field:%27propertyName%27,%20val:%27isSynchronized%27},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27ne%27,%20field:%27propertyName%27,%20val:%27visitCount%27}]},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:and,data:[{op:or,data:[{op:%27eq%27,%20field:%27className%27,%20val:%27eshop.Variation%27},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27eq%27,%20field:%27className%27,%20val:%27Variation%27}]},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27in%27,%20field:%27persistedObjectId%27,%20val:[60828,%2060829,%2061106]}]},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:and,data:[{op:or,data:[{op:%27eq%27,%20field:%27className%27,%20val:%27eshop.ProductModel%27},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27eq%27,%20field:%27className%27,%20val:%27ProductModel%27}]},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27in%27,%20field:%27persistedObjectId%27,%20val:[57679,%2058602,%2062570]}]},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:and,data:[{op:or,data:[{op:%27eq%27,%20field:%27className%27,%20val:%27eshop.Price%27},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27eq%27,%20field:%27className%27,%20val:%27Price%27}]},%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20{op:%27in%27,%20field:%27persistedObjectId%27,%20val:[987106,%20987121,%20992487,%201034825,%201043822,%201043964,%201050125,%201058377,%201059103,%201065069,%201069943,%201071346,%201077679,%201080951,%201081548,%201081592,%201085226,%201090300,%201090638,%201090765,%201090829,%201096423,%201098133,%201098263,%201098306,%201098365,%201098677,%201098896,%201098936,%201101429,%201103340,%201103766,%201124747,%201129667,%201138598,%201139716,%201151604,%201157578,%201173836,%201177646,%201177724,%201177802,%201177880,%201177958,%201184023,%201184100,%201184177,%201184254,%201185435,%201186836,%201188122,%201188190,%201188289,%201188356,%201188580,%201188646,%201188714,%201188779,%201188846,%201188910,%201188974,%201189040,%201189103,%201189168,%201189230,%201189294,%201189355,%201189418,%201189478,%201189540,%201189599,%201189660,%201189718,%201189776,%201189836,%201189893,%201189952,%201190008,%201190066,%201190121,%201190178,%201190234,%201190287,%201190605,%201190657,%201190710,%201190761,%201193820,%201194310,%201194382,%201195748,%201195816,%201197112,%201197190,%201199572,%201199677,%201201148,%201205466,%201205607,%201209126,%201212283,%201216427,%201217612,%201220301,%201227114,%201227566,%201227647,%201230545,%201230625,%201230705,%201231883,%201232726,%201235726,%201239597,%201244186,%201250215,%201253250,%201255769,%201258720,%201261082,%201269482,%201271604,%201281340,%201281957,%201281965,%201284378,%201284386,%201285873,%201297334,%201297427,%201297489,%201297577,%201300614,%201301456,%201305437,%201314325,%201319335,%201325872,%201336661,%201336680,%201337864,%201338817,%201354442,%201366685,%201367179,%201395027,%201395660,%201421565,%201432684,%201451797,%201470884,%201471379,%201496577,%201529070,%201539470,%201548769,%201556973,%201557020,%201566841,%201579049,%201592648,%201593169,%201593325,%201595980,%201597681,%201601112,%201601149,%201602202,%201610910,%201628256,%201645571,%201652851,%201664619,%201675378,%201688189,%201696659,%201697024,%201707067,%201709359,%201713472,%201728294,%201728702,%201735762,%201736761,%201736937,%201738206,%201738393,%201738396,%201738399,%201738403,%201742639,%201744324,%201744364,%201750336,%201750790,%201755206,%201763498,%201780188,%201786013,%201795468,%201797424,%201800533,%201800910,%201802304,%201802469,%201809758,%201821471,%201824569,%201824643,%201824852,%201824934,%201825015,%201825157,%201825619,%201825706,%201826386,%201826489,%201826591,%201826819,%201826922,%201827124,%201828346,%201829560,%201829784,%201829942,%201831483,%201831589,%201831694,%201831800,%201831905,%201832010,%201832116,%201832283,%201832663,%201832664,%201833024,%201833131,%201833132,%201833240,%201835488,%201836063,%201836231,%201836341,%201836493,%201837002,%201837175,%201837286,%201837287,%201837398,%201837399,%201837725,%201838724,%201842685,%201844939,%201849743,%201853086,%201853413,%201856027,%201857897,%201865492,%201873202,%201884294,%201897795,%201897832,%201899561,%201901452,%201907619,%201908878,%201908938,%201908998,%201909060,%201911987,%201912031,%201912955,%201915059,%201919815,%201930846,%201931495,%201931563,%201933015,%201937676,%201942542,%201953747,%201960558,%201960739,%201965157,%201031381,%201034826,%201043823,%201043965,%201050126,%201058378,%201059104,%201065070,%201069944,%201070655,%201071347,%201077680,%201080952,%201081549,%201081593,%201085227,%201090301,%201092161,%201092284,%201098366,%201101430,%201124748,%201129668,%201138599,%201139717,%201151605,%201157579,%201186837,%201191838,%201195750,%201195818,%201197113,%201197191,%201199573,%201199678,%201201149,%201205467,%201205608,%201209127,%201212284,%201216428,%201217613,%201220302,%201227115,%201227567,%201227648,%201230546,%201230626,%201230706,%201231884,%201232727,%201235727,%201239598,%201244187,%201250216,%201253251,%201255770,%201258721,%201261083,%201269483,%201271605,%201281958,%201281966,%201284379,%201284387,%201285874,%201286328,%201297335,%201297428,%201297490,%201297578,%201300615,%201301457,%201305438,%201314326,%201325873,%201334356,%201334493,%201334727,%201337865,%201340881,%201354443,%201366687,%201367181,%201395029,%201395662,%201421567,%201432686,%201451799,%201470886,%201471381,%201496579,%201529072,%201539472,%201548771,%201556975,%201557022,%201566843,%201579051,%201595982,%201597683,%201601114,%201601151,%201602204,%201610912,%201628258,%201645573,%201652853,%201664621,%201675380,%201688191,%201709363,%201713474,%201763500,%201780190,%201786017,%201797426,%201802306,%201809760,%201849745,%201853088,%201857899,%201865494,%201873204,%201884296,%201901454,%201907621,%201919817,%201931657,%201932158,%201955188,%201965159,%201282274,%201285875,%201297336,%201297429,%201297492,%201297579,%201300616,%201301458,%201305439,%201314327,%201336662,%201336706,%201337866,%201338818,%201350826,%201354444,%201366689,%201367183,%201395031,%201395664,%201421569,%201432688,%201451801,%201470888,%201471383,%201496581,%201529074,%201539474,%201548773,%201556977,%201557024,%201566845,%201579053,%201592650,%201593173,%201593329,%201595984,%201597685,%201601116,%201601153,%201602206,%201610914,%201628260,%201645575,%201652855,%201664623,%201675382,%201688193,%201709365,%201713476,%201744326,%201744366,%201746850,%201746867,%201746884,%201755658,%201759624,%201763502,%201780192,%201786019,%201802308,%201809762,%201821473,%201833376,%201838726,%201842687,%201844941,%201849747,%201853090,%201857901,%201866924,%201897797,%201897834,%201901603,%201901682,%201901762,%201901",17,0.0%,No
499,22/Jan/2019:04:02:18 +0330,"/filter?f=p3,b126,stexists&o=st HTTP/1.1",50852,0.49%,No
500,22/Jan/2019:04:12:49 +0330,/order/completionAndRemainingPayment/187230 HTTP/1.1,14266,0.14%,Yes
502,22/Jan/2019:05:10:17 +0330,"/filter/b2,b36,b425,b88,b99 HTTP/1.1",798,0.01%,Yes
504,22/Jan/2019:05:11:53 +0330,/product/8930/11549/%D8%A7%D8%AA%D9%88-%D8%A8%D8%AE%D8%A7%D8%B1-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-FV4880 HTTP/1.1,103,0.0%,Yes
